import time: self [us] | cumulative | imported package
import time:   1439624 |    1439624 |                     urllib3.util.retry
import time:   1399326 |    1399326 |                       urllib3.util.url
import time:   1337228 |    1337228 |                       urllib3.util.ssltransport
import time:   1477047 |    4213600 |                     urllib3.util.ssl_
import time:   1743276 |    1743276 |                     urllib3.util.wait
import time:   1557159 |   17279061 |                   urllib3.util
import time:       390 |   17279451 |                 urllib3.util.connection
import time:   2336036 |   19615487 |               urllib3._base_connection
import time:   1611831 |    1611831 |               urllib3._collections
import time:   1372179 |    1372179 |               urllib3._version
import time:   1753523 |    1753523 |                     urllib3.fields
import time:   1897735 |    3651258 |                   urllib3.filepost
import time:       248 |        248 |                     brotlicffi
import time:       108 |        108 |                     brotli
import time:      4564 |       4564 |                             _csv
import time:      2905 |       7468 |                           csv
import time:       590 |        590 |                               zipfile._path.glob
import time:      1977 |       2567 |                             zipfile._path
import time:      2666 |       5232 |                           zipfile
import time:       325 |        325 |                               importlib.metadata._functools
import time:       578 |        903 |                             importlib.metadata._text
import time:      1255 |       2158 |                           importlib.metadata._adapters
import time:      1073 |       1073 |                           importlib.metadata._meta
import time:       590 |        590 |                           importlib.metadata._collections
import time:       286 |        286 |                           importlib.metadata._itertools
import time:      1017 |       1017 |                                 importlib.resources.abc
import time:       876 |        876 |                                 importlib.resources._adapters
import time:      1197 |       3089 |                               importlib.resources._common
import time:       516 |        516 |                               importlib.resources._legacy
import time:       331 |       3935 |                             importlib.resources
import time:      2614 |       6549 |                           importlib.abc
import time:      5983 |      29335 |                         importlib.metadata
import time:   1708783 |    1738118 |                       urllib3.http2
import time:   1664102 |    1664102 |                       urllib3.http2.probe
import time:   3640357 |    3640357 |                       urllib3.util.ssl_match_hostname
import time:   1502106 |    8544682 |                     urllib3.connection
import time:       365 |        365 |                     backports
import time:   2033808 |   10579209 |                   urllib3.response
import time:   1673732 |   15904197 |                 urllib3._request_methods
import time:   1678165 |    1678165 |                 urllib3.util.proxy
import time:   1630640 |   19213002 |               urllib3.connectionpool
import time:   1758069 |    1758069 |               urllib3.poolmanager
import time:   2403861 |   47326553 |             urllib3
import time:   1484739 |    1484739 |                     charset_normalizer.constant
import time:   2903587 |    2903587 |                       charset_normalizer.md__mypyc
import time:      4650 |       4650 |                         _multibytecodec
import time:   2113505 |    2118155 |                       charset_normalizer.utils
import time:   1954548 |    6976289 |                     charset_normalizer.md
import time:   1464767 |    1464767 |                     charset_normalizer.models
import time:   1944123 |   11869917 |                   charset_normalizer.cd
import time:   1511908 |   13381824 |                 charset_normalizer.api
import time:   2292641 |    2292641 |                 charset_normalizer.legacy
